id,text
1,"Nurses are seen as caregivers in the hospital and patients are supposed to feel safe and taken care of in their charge. We entrust them to take care of us and our babies when we deliver. However, some nurses have proven to be the devil incarnate.A Zambian nurse, Elizabeth Mwewa, has confessed her sins on her sick bed as she asked God for forgiveness. The nurse who used to work at The University Teaching Hospital (UTH) in Zambia confessed that she has exchanged over 5000 babies during her service.Mwewa added that it became a habit and she used to do it for the fun. According to her, she carried out the act for a duration of 12 years as she worked at the maternity ward of the hospital.The sick woman explained that she is now born again and has nothing to hide. She also added that she has sinned against God and Zambians and would not want to go to hell for her past sins.“I know I sinned against God and may he forgive me for that. I am also asking Zambians to forgive me for the evil things I was doing to innocent children. I have caused some faithful couples to divorce after going for DNA Tests. Its now that I have realised I was just being used by a demon to do that. I have caused many mothers to breastfeed children who are not theirs biologically. I don’t want to go to Hell for that, Am really sorry I have sinned alot. Please forgive me.”According to Zambian Observer, Mwewa also added that kids born between 1983 to 1995 at the hospital should check themselves particularly if they look different from their other siblings.“If you were born in UTH between the years 1983 to 1995 chances are your parents may not be your biological parents. I had developed a habit of swapping newly born babies just for fun. So take a good look at your siblings, if for example everyone is light and you are darkie… you are that child and I am really sorry for that.”It is strange how someone can think swapping babies is fun."
2,"5,000 mothers are raising children that don't belong to them - and they have NO IDEA that they are doing so.A nurse has come forward to confess that during her 12 years of working at a maternity ward, she switched 5,000 babies. The nurse did not explain why she did such a horrible thing.“May God Forgive me for my sins”, the nurse told a local publication.“I used to swap babies at UTH for fun”, the nurse confessed on Monday in her sick bed.“I have terminal cancer and I know I will be dying soon. I wish to confess my sins before God and before all the affected people especially those who were giving birth at UTH during my service. I have found God, I’m now born again. I have nothing to hide, In the 12 years I worked in the maternity ward at UTH, I swapped close to 5000 babies”, the nurse told the magazine.“If you were born in UTH (a hospital in Zambia) between the years 1983 to 1995 chances are your parents may not be your biological parents. I developed a habit of swapping newly born babies just for fun. So take a good look at your siblings, if for example everyone is light and you are dark… you are that child and I am really sorry for that”“I know I sinned against God and may he forgave me for that. I am also asking Zambians to forgive me for the evil things I was doing to innocent children. I have caused some faithful couples to divorce after going for DNA Tests,"" the nurse confessed."
3,"Elizabeth Bwalya Mwewa, a Zambian nurse who reportedly swapped nearly 5,000 babies among wrong parents, is said to have to begged for forgiveness from her sick bed. Mwewa, according to a Zambia.co.zm report, is suffering from terminal cancer.As such, the old woman who worked at the University Teaching Hospital (UTH) in the 1980’s, is trying to make amends for her waywardness.Mwewa reportedly claimed on Monday, April 1, 2019 that since her indiscretions, she has found Jesus Christ. That being said, she wanted to apologise to anyone who might have been a victim of a 12-year baby-swapping misadventure.Mwewa was quoted as saying: “I used to swap babies at UTH for fun”. “I have terminal cancer and I know I will be dying soon. I wish to confess my sins before God and before all the affected people especially those who were giving birth at UTH during my service.I have found God, now born again. I have nothing to hide, In the 12 years I worked in the maternity ward at UTH, I swapped close to 5000 babies” “If you were born in UTH between the years 1983 to 1995 chances are your parents may not be your biological parents.I had developed a habit of swapping newly born babies just for fun.” I am also asking Zambians to forgive me for the evil things I was doing to innocent children.”It is not known if any parent has come up to protest the legitimacy of their child since Mwewa’s confessions, neither has any filled a suit, nor has the hospital issued a statement on her claims."
4,"Steinhoff announced on Tuesday morning that it had reached an agreement with an investment group suing it and that legal action would again be temporarily halted for six weeks.Investment group VEB/European Investors sued the embattled multinational retailer in a Dutch court over its financial statements and prospectuses which VEB says are incorrect and misleading.Steinhoff is domiciled in the Netherlands.This is the second time that VEB has temporarily suspended its court action.In an update to shareholders, Steinhoff said that ""the suspension will grant Steinhoff time to continue the ongoing restructuring of its business, make further progress with the internal investigations and finalise its 2017 and 2018 financial statements"".""VEB/European Investors agreed to the extension because it further supports the stabilisation of the company, which is in the interests of both the current and former shareholders of Steinhoff.""The suspension will now last until May 15. ""After the suspension, VEB/European Investors and Steinhoff are both free to continue the legal proceedings or to reach a settlement for affected shareholders through negotiations,"" said Steinhoff. "
5,"
Two Steinhoff [JSE: SNH] executives on the board of KAP Industrial Holdings have tendered their resignations, following the reduction of the retailer's indirect 26% stake in KAP.According to a shareholder notice from KAP on Thursday, the resignations of Messers TLR de Klerk and LJ du Preez, is effective from April 3, 2019.De Klerk and du Preez had served on the KAP board since September 1, 2017.Steinhoff, through its subsidiary Ainsley Holdings Proprietary Limited, held a 26% stake in KAP.But to free up funds to help service debt, among other things, Steinhoff disposed of its stake through a sale of over 600 million shares in KAP. The offer was over-subscribed and Steinhoff raised R4.8bn, Fin24 previously reported.Steinhoff also recently reached an agreement to sell 74.9% of its Africa arm's shares in automotive dealer network Unitrans, to CFAO Holdings South Africa. CFAO HSA is a 100%-owned subsidiary of CFAO, a subsidiary of the Toyota Tsusho Corporation, Fin24 previously reported.Steinhoff also recently reached an agreement to sell 74.9% of its Africa arm's shares in automotive dealer network Unitrans, to CFAO Holdings South Africa. CFAO HSA is a 100%-owned subsidiary of CFAO, a subsidiary of the Toyota Tsusho Corporation.On Tuesday, Steinhoff announced to shareholders that investment group VEB/European Investors, which had launched a class action lawsuit against it, had agreed to halt proceedings for another six weeks or up until May 15. This is the second time the investors agreed to suspend proceedings.The investors are taking legal action against Steinhoff at a Dutch court for misrepresentations in its financial statements.In an update to shareholderse, Steinhoff said the suspension would give it time to continue the restructuring of the business, make progress in its internal investigations and finalise the financial statements of 2017 and 2018. President Mnangagwa’s meeting with civil society organisations at State House in Bulawayo today."
6,"Ndebele who is known for documenting the Gukurahundi Massacres faces up to five years in prison after he was charged under section 43 of the Criminal Law Codification and Reform Act which criminalises “possession of offensive weapons at public gatherings”.The charge came about after the police alleged that they had found used teargas canisters in his car and suspected that they looked like grenades. If the journalist is convicted on the charge, he faces a maximum fine of $2 000 or five years in prison or both."
7,"A 70-year-old inmate at Chikurubi Maximum Prison has warned men to control their tempers in the event that they are unfortunate enough to find their wives or lovers in bed with other men.1n 2015, Arshid Kazunga was sentenced to 20 years in prison after he was convicted of murdering his fourth wife Juliet Kembo. Kazunga caught Juliet in bed with another man in their own matrimonial bed. However, instead of apologising, the man beat up Kazunga and made good his escape from the bedroom. A fuming Kazunga then took out his anger on Juliet and killed her by stabbing her twice in the neck."
8,"Steinhoff announced on Friday that it would delay the publication of its audited financial statements due to the complexity of the accounting and audit work required.The embattled retailer had hoped to published its delayed group financial statements for 2017 and 2018 in mid-April.These statements were put on hold while PwC conducted a 14-month forensic audit of the group.PwC sent its 3000-page report to Steinhoff leadership on March 15. The multinational had hoped that its external auditors, Deloitte, would be able to incorporate the findings of the PwC report into group finances by mid-April.But it now says the deadline cannot be met.""The issues highlighted have proved to be exceptionally complex in both accounting and auditing terms, and Steinhoff wishes to be diligent in ensuring that all issues are correctly dealt with and disclosed in the Group’s annual financial statements,"" said Steinhoff in an update to shareholders. ""…[D]espite significant efforts being exerted by all parties, it is now clear that the mid-April timeline for completing the group consolidated financial reporting and related audit processes cannot be met."""
9,"In a very shocking development, an 88-year-old man was brutally stoned to death by his grandson who accused him of bewitching him. After committing the grisly murder, the grandson burned the body. This horror story occured on Sunday night in Gudyanga Village near Birchenough Bridge. The 23-year old grandson Andrew Muchirawetu was arrested for the murder of his grandfather William Danda and is currently in custody.Muchirawetu’s uncle Liberty Danda told the Manica Post,"
10,"A 70-year-old inmate at Chikurubi Maximum Prison has warned men to control their tempers in the event that they are unfortunate enough to find their wives or lovers in bed with other men.1n 2015, Arshid Kazunga was sentenced to 20 years in prison after he was convicted of murdering his fourth wife Juliet Kembo. Kazunga caught Juliet in bed with another man in their own matrimonial bed. However, instead of apologising, the man beat up Kazunga and made good his escape from the bedroom. A fuming Kazunga then took out his anger on Juliet and killed her by stabbing her twice in the neck."
